,antecedents,consequents
131,frozenset({70509}),"frozenset({88411, 88444})"
132,"frozenset({1698, 88411})",frozenset({88444})
133,"frozenset({1698, 88444})",frozenset({88411})
134,"frozenset({88411, 88444})",frozenset({1698})
135,frozenset({1698}),"frozenset({88411, 88444})"
136,frozenset({88411}),"frozenset({1698, 88444})"
137,frozenset({88444}),"frozenset({1698, 88411})"
138,"frozenset({88411, 88444})",frozenset({1708})
139,"frozenset({1708, 88444})",frozenset({88411})
140,"frozenset({88411, 1708})",frozenset({88444})
141,frozenset({88444}),"frozenset({88411, 1708})"
142,frozenset({88411}),"frozenset({1708, 88444})"
143,frozenset({1708}),"frozenset({88411, 88444})"
144,"frozenset({1698, 88411, 88444})",frozenset({70509})
145,"frozenset({1698, 88411, 70509})",frozenset({88444})
146,"frozenset({1698, 88444, 70509})",frozenset({88411})
147,"frozenset({88411, 88444, 70509})",frozenset({1698})
148,"frozenset({1698, 88411})","frozenset({88444, 70509})"
149,"frozenset({1698, 88444})","frozenset({88411, 70509})"
150,"frozenset({1698, 70509})","frozenset({88411, 88444})"
151,"frozenset({88411, 88444})","frozenset({1698, 70509})"
152,"frozenset({88411, 70509})","frozenset({1698, 88444})"
153,"frozenset({88444, 70509})","frozenset({1698, 88411})"
154,frozenset({1698}),"frozenset({88411, 88444, 70509})"
155,frozenset({88411}),"frozenset({1698, 88444, 70509})"
156,frozenset({88444}),"frozenset({1698, 88411, 70509})"
157,frozenset({70509}),"frozenset({1698, 88411, 88444})"
158,"frozenset({1708, 88411, 88444})",frozenset({70509})
159,"frozenset({88411, 88444, 70509})",frozenset({1708})
160,"frozenset({1708, 88444, 70509})",frozenset({88411})
161,"frozenset({88411, 1708, 70509})",frozenset({88444})
162,"frozenset({88411, 88444})","frozenset({1708, 70509})"
163,"frozenset({1708, 88444})","frozenset({88411, 70509})"
164,"frozenset({88444, 70509})","frozenset({88411, 1708})"
165,"frozenset({88411, 1708})","frozenset({88444, 70509})"
166,"frozenset({88411, 70509})","frozenset({1708, 88444})"
167,"frozenset({1708, 70509})","frozenset({88411, 88444})"
168,frozenset({88444}),"frozenset({88411, 1708, 70509})"
169,frozenset({88411}),"frozenset({1708, 88444, 70509})"
170,frozenset({1708}),"frozenset({88411, 88444, 70509})"
171,frozenset({70509}),"frozenset({1708, 88411, 88444})"
172,"frozenset({1698, 88411, 88444})",frozenset({1708})
173,"frozenset({1698, 88444, 1708})",frozenset({88411})
174,"frozenset({1708, 88411, 88444})",frozenset({1698})
175,"frozenset({1698, 88411, 1708})",frozenset({88444})
176,"frozenset({1698, 88444})","frozenset({88411, 1708})"
177,"frozenset({88411, 88444})","frozenset({1698, 1708})"
178,"frozenset({1708, 88444})","frozenset({1698, 88411})"
179,"frozenset({1698, 88411})","frozenset({1708, 88444})"
180,"frozenset({1698, 1708})","frozenset({88411, 88444})"
181,"frozenset({88411, 1708})","frozenset({1698, 88444})"
182,frozenset({88444}),"frozenset({1698, 88411, 1708})"
183,frozenset({1698}),"frozenset({1708, 88411, 88444})"
184,frozenset({88411}),"frozenset({1698, 88444, 1708})"
185,frozenset({1708}),"frozenset({1698, 88411, 88444})"
186,"frozenset({1698, 88411, 1708, 70509})",frozenset({88444})
187,"frozenset({88444, 1698, 1708, 70509})",frozenset({88411})
188,"frozenset({88444, 1698, 88411, 1708})",frozenset({70509})
189,"frozenset({1698, 88411, 88444, 70509})",frozenset({1708})
190,"frozenset({88444, 88411, 1708, 70509})",frozenset({1698})
191,"frozenset({1698, 1708, 70509})","frozenset({88411, 88444})"
192,"frozenset({1698, 88411, 1708})","frozenset({88444, 70509})"
193,"frozenset({88444, 1698, 1708})","frozenset({88411, 70509})"
194,"frozenset({1698, 88411, 70509})","frozenset({88444, 1708})"
195,"frozenset({1698, 88444, 70509})","frozenset({88411, 1708})"
196,"frozenset({1698, 88411, 88444})","frozenset({1708, 70509})"
197,"frozenset({88411, 1708, 70509})","frozenset({1698, 88444})"
198,"frozenset({88444, 1708, 70509})","frozenset({1698, 88411})"
199,"frozenset({88444, 88411, 1708})","frozenset({1698, 70509})"
200,"frozenset({88411, 88444, 70509})","frozenset({1698, 1708})"
201,"frozenset({1698, 1708})","frozenset({88411, 88444, 70509})"
202,"frozenset({1698, 70509})","frozenset({88444, 88411, 1708})"
203,"frozenset({1698, 88411})","frozenset({88444, 1708, 70509})"
204,"frozenset({1698, 88444})","frozenset({88411, 1708, 70509})"
205,"frozenset({1708, 70509})","frozenset({1698, 88411, 88444})"
206,"frozenset({88411, 1708})","frozenset({1698, 88444, 70509})"
207,"frozenset({88444, 1708})","frozenset({1698, 88411, 70509})"
208,"frozenset({88411, 70509})","frozenset({88444, 1698, 1708})"
209,"frozenset({88444, 70509})","frozenset({1698, 88411, 1708})"
210,"frozenset({88411, 88444})","frozenset({1698, 1708, 70509})"
