,antecedents,consequents
647,frozenset({1698}),"frozenset({88411, 70509})"
648,frozenset({88411}),"frozenset({1698, 70509})"
649,frozenset({70509}),"frozenset({1698, 88411})"
650,"frozenset({1698, 88444})",frozenset({70509})
651,"frozenset({1698, 70509})",frozenset({88444})
652,"frozenset({88444, 70509})",frozenset({1698})
653,frozenset({1698}),"frozenset({88444, 70509})"
654,frozenset({88444}),"frozenset({1698, 70509})"
655,frozenset({70509}),"frozenset({1698, 88444})"
656,"frozenset({1698, 70509})",frozenset({88623})
657,"frozenset({1698, 88623})",frozenset({70509})
658,"frozenset({70509, 88623})",frozenset({1698})
659,frozenset({1698}),"frozenset({70509, 88623})"
660,frozenset({70509}),"frozenset({1698, 88623})"
661,frozenset({88623}),"frozenset({1698, 70509})"
662,"frozenset({1698, 88676})",frozenset({70509})
663,"frozenset({1698, 70509})",frozenset({88676})
664,"frozenset({88676, 70509})",frozenset({1698})
665,frozenset({1698}),"frozenset({88676, 70509})"
666,frozenset({88676}),"frozenset({1698, 70509})"
667,frozenset({70509}),"frozenset({1698, 88676})"
668,"frozenset({1698, 135492})",frozenset({70509})
669,"frozenset({1698, 70509})",frozenset({135492})
670,"frozenset({135492, 70509})",frozenset({1698})
671,frozenset({1698}),"frozenset({135492, 70509})"
672,frozenset({135492}),"frozenset({1698, 70509})"
673,frozenset({70509}),"frozenset({1698, 135492})"
674,"frozenset({1698, 135493})",frozenset({70509})
675,"frozenset({1698, 70509})",frozenset({135493})
676,"frozenset({135493, 70509})",frozenset({1698})
677,frozenset({1698}),"frozenset({135493, 70509})"
678,frozenset({135493}),"frozenset({1698, 70509})"
679,frozenset({70509}),"frozenset({1698, 135493})"
680,"frozenset({1698, 70509})",frozenset({135789})
681,"frozenset({1698, 135789})",frozenset({70509})
682,"frozenset({70509, 135789})",frozenset({1698})
683,frozenset({1698}),"frozenset({70509, 135789})"
684,frozenset({70509}),"frozenset({1698, 135789})"
685,frozenset({135789}),"frozenset({1698, 70509})"
686,"frozenset({1698, 88411})",frozenset({88444})
687,"frozenset({1698, 88444})",frozenset({88411})
688,"frozenset({88411, 88444})",frozenset({1698})
689,frozenset({1698}),"frozenset({88411, 88444})"
690,frozenset({88411}),"frozenset({1698, 88444})"
691,frozenset({88444}),"frozenset({1698, 88411})"
692,"frozenset({1698, 88411})",frozenset({88676})
693,"frozenset({1698, 88676})",frozenset({88411})
694,"frozenset({88411, 88676})",frozenset({1698})
695,frozenset({1698}),"frozenset({88411, 88676})"
696,frozenset({88411}),"frozenset({1698, 88676})"
697,frozenset({88676}),"frozenset({1698, 88411})"
698,"frozenset({1698, 88411})",frozenset({135492})
699,"frozenset({1698, 135492})",frozenset({88411})
700,"frozenset({88411, 135492})",frozenset({1698})
701,frozenset({1698}),"frozenset({88411, 135492})"
702,frozenset({88411}),"frozenset({1698, 135492})"
703,frozenset({135492}),"frozenset({1698, 88411})"
704,"frozenset({1698, 88411})",frozenset({135493})
705,"frozenset({1698, 135493})",frozenset({88411})
706,"frozenset({88411, 135493})",frozenset({1698})
707,frozenset({1698}),"frozenset({88411, 135493})"
708,frozenset({88411}),"frozenset({1698, 135493})"
709,frozenset({135493}),"frozenset({1698, 88411})"
710,"frozenset({1698, 88411})",frozenset({135789})
711,"frozenset({1698, 135789})",frozenset({88411})
712,"frozenset({88411, 135789})",frozenset({1698})
713,frozenset({1698}),"frozenset({88411, 135789})"
714,frozenset({88411}),"frozenset({1698, 135789})"
715,frozenset({135789}),"frozenset({1698, 88411})"
716,"frozenset({1707, 23004})",frozenset({70509})
717,"frozenset({1707, 70509})",frozenset({23004})
718,"frozenset({23004, 70509})",frozenset({1707})
719,frozenset({1707}),"frozenset({23004, 70509})"
720,frozenset({23004}),"frozenset({1707, 70509})"
721,frozenset({70509}),"frozenset({1707, 23004})"
722,"frozenset({88411, 1707})",frozenset({70509})
723,"frozenset({88411, 70509})",frozenset({1707})
724,"frozenset({1707, 70509})",frozenset({88411})
725,frozenset({88411}),"frozenset({1707, 70509})"
726,frozenset({1707}),"frozenset({88411, 70509})"
727,frozenset({70509}),"frozenset({88411, 1707})"
728,"frozenset({1708, 23004})",frozenset({70509})
729,"frozenset({23004, 70509})",frozenset({1708})
730,"frozenset({1708, 70509})",frozenset({23004})
731,frozenset({23004}),"frozenset({1708, 70509})"
732,frozenset({1708}),"frozenset({23004, 70509})"
733,frozenset({70509}),"frozenset({1708, 23004})"
734,"frozenset({88411, 1708})",frozenset({23004})
735,"frozenset({88411, 23004})",frozenset({1708})
736,"frozenset({23004, 1708})",frozenset({88411})
737,frozenset({88411}),"frozenset({23004, 1708})"
738,frozenset({1708}),"frozenset({88411, 23004})"
739,frozenset({23004}),"frozenset({88411, 1708})"
740,"frozenset({23004, 88444})",frozenset({1708})
741,"frozenset({1708, 88444})",frozenset({23004})
742,"frozenset({1708, 23004})",frozenset({88444})
743,frozenset({88444}),"frozenset({1708, 23004})"
744,frozenset({23004}),"frozenset({1708, 88444})"
745,frozenset({1708}),"frozenset({23004, 88444})"
746,"frozenset({88411, 1708})",frozenset({70509})
747,"frozenset({88411, 70509})",frozenset({1708})
748,"frozenset({1708, 70509})",frozenset({88411})
749,frozenset({88411}),"frozenset({1708, 70509})"
750,frozenset({1708}),"frozenset({88411, 70509})"
751,frozenset({70509}),"frozenset({88411, 1708})"
752,"frozenset({1708, 88444})",frozenset({70509})
753,"frozenset({88444, 70509})",frozenset({1708})
754,"frozenset({1708, 70509})",frozenset({88444})
755,frozenset({88444}),"frozenset({1708, 70509})"
756,frozenset({1708}),"frozenset({88444, 70509})"
757,frozenset({70509}),"frozenset({1708, 88444})"
758,"frozenset({88411, 88444})",frozenset({1708})
759,"frozenset({1708, 88444})",frozenset({88411})
760,"frozenset({88411, 1708})",frozenset({88444})
761,frozenset({88444}),"frozenset({88411, 1708})"
762,frozenset({88411}),"frozenset({1708, 88444})"
763,frozenset({1708}),"frozenset({88411, 88444})"
764,"frozenset({88411, 70509})",frozenset({1755})
765,"frozenset({88411, 1755})",frozenset({70509})
766,"frozenset({1755, 70509})",frozenset({88411})
767,frozenset({88411}),"frozenset({1755, 70509})"
768,frozenset({70509}),"frozenset({88411, 1755})"
769,frozenset({1755}),"frozenset({88411, 70509})"
770,"frozenset({1755, 135493})",frozenset({70509})
771,"frozenset({1755, 70509})",frozenset({135493})
772,"frozenset({135493, 70509})",frozenset({1755})
773,frozenset({1755}),"frozenset({135493, 70509})"
774,frozenset({135493}),"frozenset({1755, 70509})"
775,frozenset({70509}),"frozenset({1755, 135493})"
776,"frozenset({88411, 1755})",frozenset({88622})
777,"frozenset({1755, 88622})",frozenset({88411})
778,"frozenset({88411, 88622})",frozenset({1755})
779,frozenset({1755}),"frozenset({88411, 88622})"
780,frozenset({88411}),"frozenset({1755, 88622})"
781,frozenset({88622}),"frozenset({88411, 1755})"
782,"frozenset({88411, 1755})",frozenset({88623})
783,"frozenset({88411, 88623})",frozenset({1755})
784,"frozenset({1755, 88623})",frozenset({88411})
785,frozenset({88411}),"frozenset({1755, 88623})"
786,frozenset({1755}),"frozenset({88411, 88623})"
787,frozenset({88623}),"frozenset({88411, 1755})"
788,"frozenset({88411, 88676})",frozenset({1755})
789,"frozenset({88411, 1755})",frozenset({88676})
790,"frozenset({1755, 88676})",frozenset({88411})
791,frozenset({88411}),"frozenset({1755, 88676})"
792,frozenset({88676}),"frozenset({88411, 1755})"
793,frozenset({1755}),"frozenset({88411, 88676})"
794,"frozenset({88411, 135492})",frozenset({1755})
795,"frozenset({88411, 1755})",frozenset({135492})
796,"frozenset({1755, 135492})",frozenset({88411})
797,frozenset({88411}),"frozenset({1755, 135492})"
798,frozenset({135492}),"frozenset({88411, 1755})"
799,frozenset({1755}),"frozenset({88411, 135492})"
800,"frozenset({88411, 135493})",frozenset({1755})
801,"frozenset({88411, 1755})",frozenset({135493})
802,"frozenset({1755, 135493})",frozenset({88411})
803,frozenset({88411}),"frozenset({1755, 135493})"
804,frozenset({135493}),"frozenset({88411, 1755})"
805,frozenset({1755}),"frozenset({88411, 135493})"
806,"frozenset({88411, 1755})",frozenset({135494})
807,"frozenset({1755, 135494})",frozenset({88411})
808,"frozenset({88411, 135494})",frozenset({1755})
809,frozenset({1755}),"frozenset({88411, 135494})"
810,frozenset({88411}),"frozenset({1755, 135494})"
811,frozenset({135494}),"frozenset({88411, 1755})"
812,"frozenset({88411, 1755})",frozenset({135495})
813,"frozenset({88411, 135495})",frozenset({1755})
814,"frozenset({1755, 135495})",frozenset({88411})
815,frozenset({88411}),"frozenset({1755, 135495})"
816,frozenset({1755}),"frozenset({88411, 135495})"
817,frozenset({135495}),"frozenset({88411, 1755})"
818,"frozenset({88411, 135501})",frozenset({1755})
819,"frozenset({88411, 1755})",frozenset({135501})
820,"frozenset({1755, 135501})",frozenset({88411})
821,frozenset({88411}),"frozenset({1755, 135501})"
822,frozenset({135501}),"frozenset({88411, 1755})"
823,frozenset({1755}),"frozenset({88411, 135501})"
824,"frozenset({88411, 1755})",frozenset({135503})
825,"frozenset({88411, 135503})",frozenset({1755})
826,"frozenset({1755, 135503})",frozenset({88411})
827,frozenset({88411}),"frozenset({1755, 135503})"
828,frozenset({1755}),"frozenset({88411, 135503})"
829,frozenset({135503}),"frozenset({88411, 1755})"
830,"frozenset({135505, 88411})",frozenset({1755})
831,"frozenset({135505, 1755})",frozenset({88411})
832,"frozenset({88411, 1755})",frozenset({135505})
833,frozenset({135505}),"frozenset({88411, 1755})"
834,frozenset({88411}),"frozenset({135505, 1755})"
835,frozenset({1755}),"frozenset({135505, 88411})"
836,"frozenset({88411, 135507})",frozenset({1755})
837,"frozenset({135507, 1755})",frozenset({88411})
838,"frozenset({88411, 1755})",frozenset({135507})
839,frozenset({135507}),"frozenset({88411, 1755})"
840,frozenset({88411}),"frozenset({135507, 1755})"
841,frozenset({1755}),"frozenset({88411, 135507})"
842,"frozenset({88411, 135789})",frozenset({1755})
843,"frozenset({88411, 1755})",frozenset({135789})
844,"frozenset({1755, 135789})",frozenset({88411})
845,frozenset({88411}),"frozenset({1755, 135789})"
846,frozenset({135789}),"frozenset({88411, 1755})"
847,frozenset({1755}),"frozenset({88411, 135789})"
848,"frozenset({88411, 1755})",frozenset({3216486})
849,"frozenset({1755, 3216486})",frozenset({88411})
850,"frozenset({88411, 3216486})",frozenset({1755})
851,frozenset({1755}),"frozenset({88411, 3216486})"
852,frozenset({88411}),"frozenset({1755, 3216486})"
853,frozenset({3216486}),"frozenset({88411, 1755})"
854,"frozenset({88411, 3336149})",frozenset({1755})
855,"frozenset({88411, 1755})",frozenset({3336149})
856,"frozenset({1755, 3336149})",frozenset({88411})
857,frozenset({88411}),"frozenset({1755, 3336149})"
858,frozenset({3336149}),"frozenset({88411, 1755})"
859,frozenset({1755}),"frozenset({88411, 3336149})"
860,"frozenset({88411, 15021876})",frozenset({1755})
861,"frozenset({88411, 1755})",frozenset({15021876})
862,"frozenset({1755, 15021876})",frozenset({88411})
863,frozenset({88411}),"frozenset({1755, 15021876})"
864,frozenset({15021876}),"frozenset({88411, 1755})"
865,frozenset({1755}),"frozenset({88411, 15021876})"
866,"frozenset({1755, 88622})",frozenset({88623})
867,"frozenset({1755, 88623})",frozenset({88622})
868,"frozenset({88622, 88623})",frozenset({1755})
869,frozenset({1755}),"frozenset({88622, 88623})"
870,frozenset({88622}),"frozenset({1755, 88623})"
871,frozenset({88623}),"frozenset({1755, 88622})"
872,"frozenset({1755, 88676})",frozenset({135493})
873,"frozenset({1755, 135493})",frozenset({88676})
874,"frozenset({88676, 135493})",frozenset({1755})
875,frozenset({1755}),"frozenset({88676, 135493})"
876,frozenset({88676}),"frozenset({1755, 135493})"
877,frozenset({135493}),"frozenset({1755, 88676})"
878,"frozenset({135505, 1755})",frozenset({135493})
879,"frozenset({135505, 135493})",frozenset({1755})
880,"frozenset({1755, 135493})",frozenset({135505})
881,frozenset({135505}),"frozenset({1755, 135493})"
882,frozenset({1755}),"frozenset({135505, 135493})"
883,frozenset({135493}),"frozenset({135505, 1755})"
884,"frozenset({23004, 70509})",frozenset({70126})
885,"frozenset({23004, 70126})",frozenset({70509})
886,"frozenset({70509, 70126})",frozenset({23004})
887,frozenset({23004}),"frozenset({70509, 70126})"
888,frozenset({70509}),"frozenset({23004, 70126})"
889,frozenset({70126}),"frozenset({23004, 70509})"
890,"frozenset({88411, 23004})",frozenset({70509})
891,"frozenset({88411, 70509})",frozenset({23004})
892,"frozenset({23004, 70509})",frozenset({88411})
893,frozenset({88411}),"frozenset({23004, 70509})"
894,frozenset({23004}),"frozenset({88411, 70509})"
895,frozenset({70509}),"frozenset({88411, 23004})"
896,"frozenset({88444, 23004})",frozenset({70509})
897,"frozenset({23004, 70509})",frozenset({88444})
898,"frozenset({88444, 70509})",frozenset({23004})
899,frozenset({23004}),"frozenset({88444, 70509})"
900,frozenset({88444}),"frozenset({23004, 70509})"
901,frozenset({70509}),"frozenset({88444, 23004})"
902,"frozenset({70448, 88411})",frozenset({70509})
903,"frozenset({70448, 70509})",frozenset({88411})
904,"frozenset({88411, 70509})",frozenset({70448})
905,frozenset({70448}),"frozenset({88411, 70509})"
906,frozenset({88411}),"frozenset({70448, 70509})"
907,frozenset({70509}),"frozenset({70448, 88411})"
908,"frozenset({88411, 70509})",frozenset({87118})
909,"frozenset({88411, 87118})",frozenset({70509})
910,"frozenset({70509, 87118})",frozenset({88411})
911,frozenset({88411}),"frozenset({70509, 87118})"
912,frozenset({70509}),"frozenset({88411, 87118})"
913,frozenset({87118}),"frozenset({88411, 70509})"
914,"frozenset({70509, 87118})",frozenset({88623})
915,"frozenset({70509, 88623})",frozenset({87118})
916,"frozenset({87118, 88623})",frozenset({70509})
917,frozenset({70509}),"frozenset({87118, 88623})"
918,frozenset({87118}),"frozenset({70509, 88623})"
919,frozenset({88623}),"frozenset({70509, 87118})"
920,"frozenset({3336149, 87118})",frozenset({70509})
921,"frozenset({70509, 87118})",frozenset({3336149})
922,"frozenset({3336149, 70509})",frozenset({87118})
923,frozenset({87118}),"frozenset({3336149, 70509})"
924,frozenset({3336149}),"frozenset({70509, 87118})"
925,frozenset({70509}),"frozenset({3336149, 87118})"
926,"frozenset({88411, 70509})",frozenset({88443})
927,"frozenset({88411, 88443})",frozenset({70509})
928,"frozenset({88443, 70509})",frozenset({88411})
929,frozenset({88411}),"frozenset({88443, 70509})"
930,frozenset({70509}),"frozenset({88411, 88443})"
931,frozenset({88443}),"frozenset({88411, 70509})"
932,"frozenset({88411, 88444})",frozenset({70509})
933,"frozenset({88411, 70509})",frozenset({88444})
934,"frozenset({88444, 70509})",frozenset({88411})
935,frozenset({88411}),"frozenset({88444, 70509})"
936,frozenset({88444}),"frozenset({88411, 70509})"
937,frozenset({70509}),"frozenset({88411, 88444})"
938,"frozenset({88411, 70509})",frozenset({88622})
939,"frozenset({88411, 88622})",frozenset({70509})
940,"frozenset({70509, 88622})",frozenset({88411})
941,frozenset({88411}),"frozenset({70509, 88622})"
942,frozenset({70509}),"frozenset({88411, 88622})"
943,frozenset({88622}),"frozenset({88411, 70509})"
944,"frozenset({88411, 70509})",frozenset({88623})
945,"frozenset({88411, 88623})",frozenset({70509})
946,"frozenset({70509, 88623})",frozenset({88411})
947,frozenset({88411}),"frozenset({70509, 88623})"
948,frozenset({70509}),"frozenset({88411, 88623})"
949,frozenset({88623}),"frozenset({88411, 70509})"
950,"frozenset({88411, 70509})",frozenset({88675})
951,"frozenset({88411, 88675})",frozenset({70509})
952,"frozenset({88675, 70509})",frozenset({88411})
953,frozenset({88411}),"frozenset({88675, 70509})"
954,frozenset({70509}),"frozenset({88411, 88675})"
955,frozenset({88675}),"frozenset({88411, 70509})"
956,"frozenset({88411, 88676})",frozenset({70509})
957,"frozenset({88411, 70509})",frozenset({88676})
958,"frozenset({88676, 70509})",frozenset({88411})
959,frozenset({88411}),"frozenset({88676, 70509})"
960,frozenset({88676}),"frozenset({88411, 70509})"
961,frozenset({70509}),"frozenset({88411, 88676})"
962,"frozenset({88411, 135492})",frozenset({70509})
963,"frozenset({88411, 70509})",frozenset({135492})
964,"frozenset({135492, 70509})",frozenset({88411})
965,frozenset({88411}),"frozenset({135492, 70509})"
966,frozenset({135492}),"frozenset({88411, 70509})"
967,frozenset({70509}),"frozenset({88411, 135492})"
968,"frozenset({88411, 135493})",frozenset({70509})
969,"frozenset({88411, 70509})",frozenset({135493})
970,"frozenset({135493, 70509})",frozenset({88411})
971,frozenset({88411}),"frozenset({135493, 70509})"
972,frozenset({135493}),"frozenset({88411, 70509})"
973,frozenset({70509}),"frozenset({88411, 135493})"
974,"frozenset({88411, 70509})",frozenset({135494})
975,"frozenset({88411, 135494})",frozenset({70509})
976,"frozenset({70509, 135494})",frozenset({88411})
977,frozenset({88411}),"frozenset({70509, 135494})"
978,frozenset({70509}),"frozenset({88411, 135494})"
979,frozenset({135494}),"frozenset({88411, 70509})"
980,"frozenset({88411, 70509})",frozenset({135495})
981,"frozenset({88411, 135495})",frozenset({70509})
982,"frozenset({70509, 135495})",frozenset({88411})
983,frozenset({88411}),"frozenset({70509, 135495})"
984,frozenset({70509}),"frozenset({88411, 135495})"
985,frozenset({135495}),"frozenset({88411, 70509})"
986,"frozenset({88411, 135501})",frozenset({70509})
987,"frozenset({88411, 70509})",frozenset({135501})
988,"frozenset({135501, 70509})",frozenset({88411})
989,frozenset({88411}),"frozenset({135501, 70509})"
990,frozenset({135501}),"frozenset({88411, 70509})"
991,frozenset({70509}),"frozenset({88411, 135501})"
992,"frozenset({88411, 70509})",frozenset({135503})
993,"frozenset({88411, 135503})",frozenset({70509})
994,"frozenset({70509, 135503})",frozenset({88411})
995,frozenset({88411}),"frozenset({70509, 135503})"
996,frozenset({70509}),"frozenset({88411, 135503})"
997,frozenset({135503}),"frozenset({88411, 70509})"
998,"frozenset({135505, 88411})",frozenset({70509})
999,"frozenset({135505, 70509})",frozenset({88411})
1000,"frozenset({88411, 70509})",frozenset({135505})
1001,frozenset({135505}),"frozenset({88411, 70509})"
1002,frozenset({88411}),"frozenset({135505, 70509})"
1003,frozenset({70509}),"frozenset({135505, 88411})"
1004,"frozenset({88411, 135507})",frozenset({70509})
1005,"frozenset({135507, 70509})",frozenset({88411})
1006,"frozenset({88411, 70509})",frozenset({135507})
1007,frozenset({135507}),"frozenset({88411, 70509})"
1008,frozenset({88411}),"frozenset({135507, 70509})"
1009,frozenset({70509}),"frozenset({88411, 135507})"
1010,"frozenset({88411, 70509})",frozenset({135789})
1011,"frozenset({88411, 135789})",frozenset({70509})
1012,"frozenset({70509, 135789})",frozenset({88411})
1013,frozenset({88411}),"frozenset({70509, 135789})"
1014,frozenset({70509}),"frozenset({88411, 135789})"
1015,frozenset({135789}),"frozenset({88411, 70509})"
1016,"frozenset({88411, 3336149})",frozenset({70509})
1017,"frozenset({3336149, 70509})",frozenset({88411})
1018,"frozenset({88411, 70509})",frozenset({3336149})
1019,frozenset({3336149}),"frozenset({88411, 70509})"
1020,frozenset({88411}),"frozenset({3336149, 70509})"
1021,frozenset({70509}),"frozenset({88411, 3336149})"
1022,"frozenset({15021864, 88411})",frozenset({70509})
1023,"frozenset({15021864, 70509})",frozenset({88411})
1024,"frozenset({88411, 70509})",frozenset({15021864})
1025,frozenset({15021864}),"frozenset({88411, 70509})"
1026,frozenset({88411}),"frozenset({15021864, 70509})"
1027,frozenset({70509}),"frozenset({15021864, 88411})"
1028,"frozenset({70509, 88622})",frozenset({88623})
1029,"frozenset({70509, 88623})",frozenset({88622})
1030,"frozenset({88622, 88623})",frozenset({70509})
1031,frozenset({70509}),"frozenset({88622, 88623})"
1032,frozenset({88622}),"frozenset({70509, 88623})"
1033,frozenset({88623}),"frozenset({70509, 88622})"
1034,"frozenset({70509, 135494})",frozenset({88622})
1035,"frozenset({88622, 135494})",frozenset({70509})
1036,"frozenset({70509, 88622})",frozenset({135494})
1037,frozenset({135494}),"frozenset({70509, 88622})"
1038,frozenset({70509}),"frozenset({88622, 135494})"
1039,frozenset({88622}),"frozenset({70509, 135494})"
1040,"frozenset({3336149, 70509})",frozenset({88622})
1041,"frozenset({3336149, 88622})",frozenset({70509})
1042,"frozenset({70509, 88622})",frozenset({3336149})
1043,frozenset({3336149}),"frozenset({70509, 88622})"
1044,frozenset({70509}),"frozenset({3336149, 88622})"
1045,frozenset({88622}),"frozenset({3336149, 70509})"
1046,"frozenset({88676, 70509})",frozenset({88623})
1047,"frozenset({88676, 88623})",frozenset({70509})
1048,"frozenset({70509, 88623})",frozenset({88676})
1049,frozenset({88676}),"frozenset({70509, 88623})"
1050,frozenset({70509}),"frozenset({88676, 88623})"
1051,frozenset({88623}),"frozenset({88676, 70509})"
1052,"frozenset({135492, 70509})",frozenset({88623})
1053,"frozenset({135492, 88623})",frozenset({70509})
1054,"frozenset({70509, 88623})",frozenset({135492})
1055,frozenset({135492}),"frozenset({70509, 88623})"
1056,frozenset({70509}),"frozenset({135492, 88623})"
1057,frozenset({88623}),"frozenset({135492, 70509})"
1058,"frozenset({135493, 70509})",frozenset({88623})
1059,"frozenset({135493, 88623})",frozenset({70509})
1060,"frozenset({70509, 88623})",frozenset({135493})
1061,frozenset({135493}),"frozenset({70509, 88623})"
1062,frozenset({70509}),"frozenset({135493, 88623})"
1063,frozenset({88623}),"frozenset({135493, 70509})"
1064,"frozenset({70509, 135494})",frozenset({88623})
1065,"frozenset({70509, 88623})",frozenset({135494})
1066,"frozenset({135494, 88623})",frozenset({70509})
1067,frozenset({70509}),"frozenset({135494, 88623})"
1068,frozenset({135494}),"frozenset({70509, 88623})"
1069,frozenset({88623}),"frozenset({70509, 135494})"
1070,"frozenset({70509, 88623})",frozenset({135495})
1071,"frozenset({135495, 88623})",frozenset({70509})
1072,"frozenset({70509, 135495})",frozenset({88623})
1073,frozenset({88623}),"frozenset({70509, 135495})"
1074,frozenset({70509}),"frozenset({135495, 88623})"
1075,frozenset({135495}),"frozenset({70509, 88623})"
1076,"frozenset({3336149, 70509})",frozenset({88623})
1077,"frozenset({3336149, 88623})",frozenset({70509})
1078,"frozenset({70509, 88623})",frozenset({3336149})
1079,frozenset({3336149}),"frozenset({70509, 88623})"
1080,frozenset({70509}),"frozenset({3336149, 88623})"
1081,frozenset({88623}),"frozenset({3336149, 70509})"
1082,"frozenset({88676, 70509})",frozenset({135492})
1083,"frozenset({88676, 135492})",frozenset({70509})
1084,"frozenset({135492, 70509})",frozenset({88676})
1085,frozenset({88676}),"frozenset({135492, 70509})"
1086,frozenset({70509}),"frozenset({88676, 135492})"
1087,frozenset({135492}),"frozenset({88676, 70509})"
1088,"frozenset({88676, 135493})",frozenset({70509})
1089,"frozenset({88676, 70509})",frozenset({135493})
1090,"frozenset({135493, 70509})",frozenset({88676})
1091,frozenset({88676}),"frozenset({135493, 70509})"
1092,frozenset({135493}),"frozenset({88676, 70509})"
1093,frozenset({70509}),"frozenset({88676, 135493})"
1094,"frozenset({135505, 88676})",frozenset({70509})
1095,"frozenset({135505, 70509})",frozenset({88676})
1096,"frozenset({88676, 70509})",frozenset({135505})
1097,frozenset({135505}),"frozenset({88676, 70509})"
1098,frozenset({88676}),"frozenset({135505, 70509})"
1099,frozenset({70509}),"frozenset({135505, 88676})"
1100,"frozenset({88676, 135789})",frozenset({70509})
1101,"frozenset({88676, 70509})",frozenset({135789})
1102,"frozenset({135789, 70509})",frozenset({88676})
1103,frozenset({88676}),"frozenset({135789, 70509})"
1104,frozenset({135789}),"frozenset({88676, 70509})"
1105,frozenset({70509}),"frozenset({88676, 135789})"
1106,"frozenset({135492, 135493})",frozenset({70509})
1107,"frozenset({135492, 70509})",frozenset({135493})
1108,"frozenset({135493, 70509})",frozenset({135492})
1109,frozenset({135492}),"frozenset({135493, 70509})"
1110,frozenset({135493}),"frozenset({135492, 70509})"
1111,frozenset({70509}),"frozenset({135492, 135493})"
1112,"frozenset({135492, 70509})",frozenset({135494})
1113,"frozenset({135492, 135494})",frozenset({70509})
1114,"frozenset({70509, 135494})",frozenset({135492})
1115,frozenset({135492}),"frozenset({70509, 135494})"
1116,frozenset({70509}),"frozenset({135492, 135494})"
1117,frozenset({135494}),"frozenset({135492, 70509})"
1118,"frozenset({135492, 3336149})",frozenset({70509})
1119,"frozenset({3336149, 70509})",frozenset({135492})
1120,"frozenset({135492, 70509})",frozenset({3336149})
1121,frozenset({3336149}),"frozenset({135492, 70509})"
1122,frozenset({135492}),"frozenset({3336149, 70509})"
1123,frozenset({70509}),"frozenset({135492, 3336149})"
1124,"frozenset({135493, 135494})",frozenset({70509})
1125,"frozenset({70509, 135494})",frozenset({135493})
1126,"frozenset({135493, 70509})",frozenset({135494})
1127,frozenset({135494}),"frozenset({135493, 70509})"
1128,frozenset({135493}),"frozenset({70509, 135494})"
1129,frozenset({70509}),"frozenset({135493, 135494})"
1130,"frozenset({135493, 70509})",frozenset({135503})
1131,"frozenset({135493, 135503})",frozenset({70509})
1132,"frozenset({70509, 135503})",frozenset({135493})
1133,frozenset({135493}),"frozenset({70509, 135503})"
1134,frozenset({70509}),"frozenset({135493, 135503})"
1135,frozenset({135503}),"frozenset({135493, 70509})"
1136,"frozenset({135505, 135493})",frozenset({70509})
1137,"frozenset({135505, 70509})",frozenset({135493})
1138,"frozenset({135493, 70509})",frozenset({135505})
1139,frozenset({135505}),"frozenset({135493, 70509})"
1140,frozenset({135493}),"frozenset({135505, 70509})"
1141,frozenset({70509}),"frozenset({135505, 135493})"
1142,"frozenset({135493, 135789})",frozenset({70509})
1143,"frozenset({135789, 70509})",frozenset({135493})
1144,"frozenset({135493, 70509})",frozenset({135789})
1145,frozenset({135789}),"frozenset({135493, 70509})"
1146,frozenset({135493}),"frozenset({135789, 70509})"
1147,frozenset({70509}),"frozenset({135493, 135789})"
1148,"frozenset({135493, 3336149})",frozenset({70509})
1149,"frozenset({3336149, 70509})",frozenset({135493})
1150,"frozenset({135493, 70509})",frozenset({3336149})
1151,frozenset({3336149}),"frozenset({135493, 70509})"
1152,frozenset({135493}),"frozenset({3336149, 70509})"
1153,frozenset({70509}),"frozenset({135493, 3336149})"
1154,"frozenset({3336149, 70509})",frozenset({135495})
1155,"frozenset({3336149, 135495})",frozenset({70509})
1156,"frozenset({70509, 135495})",frozenset({3336149})
1157,frozenset({3336149}),"frozenset({70509, 135495})"
1158,frozenset({70509}),"frozenset({3336149, 135495})"
1159,frozenset({135495}),"frozenset({3336149, 70509})"
1160,"frozenset({88411, 3336149})",frozenset({87118})
1161,"frozenset({88411, 87118})",frozenset({3336149})
1162,"frozenset({3336149, 87118})",frozenset({88411})
1163,frozenset({88411}),"frozenset({3336149, 87118})"
1164,frozenset({3336149}),"frozenset({88411, 87118})"
1165,frozenset({87118}),"frozenset({88411, 3336149})"
1166,"frozenset({88411, 88676})",frozenset({88443})
1167,"frozenset({88411, 88443})",frozenset({88676})
1168,"frozenset({88443, 88676})",frozenset({88411})
1169,frozenset({88411}),"frozenset({88443, 88676})"
1170,frozenset({88676}),"frozenset({88411, 88443})"
1171,frozenset({88443}),"frozenset({88411, 88676})"
1172,"frozenset({88411, 135493})",frozenset({88443})
1173,"frozenset({88411, 88443})",frozenset({135493})
1174,"frozenset({88443, 135493})",frozenset({88411})
1175,frozenset({88411}),"frozenset({88443, 135493})"
1176,frozenset({135493}),"frozenset({88411, 88443})"
1177,frozenset({88443}),"frozenset({88411, 135493})"
1178,"frozenset({88411, 88622})",frozenset({88623})
1179,"frozenset({88411, 88623})",frozenset({88622})
1180,"frozenset({88622, 88623})",frozenset({88411})
1181,frozenset({88411}),"frozenset({88622, 88623})"
1182,frozenset({88622}),"frozenset({88411, 88623})"
1183,frozenset({88623}),"frozenset({88411, 88622})"
1184,"frozenset({88411, 88676})",frozenset({88623})
