,antecedents,consequents
158,frozenset({70072}),frozenset({70415})
159,frozenset({70415}),frozenset({70072})
160,frozenset({70509}),frozenset({70126})
161,frozenset({70126}),frozenset({70509})
162,frozenset({87120}),frozenset({70126})
163,frozenset({70126}),frozenset({87120})
164,frozenset({88411}),frozenset({70126})
165,frozenset({70126}),frozenset({88411})
166,frozenset({88445}),frozenset({70126})
167,frozenset({70126}),frozenset({88445})
168,frozenset({70128}),frozenset({70127})
169,frozenset({70127}),frozenset({70128})
170,frozenset({88411}),frozenset({70127})
171,frozenset({70127}),frozenset({88411})
172,frozenset({70128}),frozenset({70509})
173,frozenset({70509}),frozenset({70128})
174,frozenset({70128}),frozenset({88411})
175,frozenset({88411}),frozenset({70128})
176,frozenset({70128}),frozenset({88475})
177,frozenset({88475}),frozenset({70128})
178,frozenset({70274}),frozenset({70509})
179,frozenset({70509}),frozenset({70274})
180,frozenset({87945}),frozenset({70447})
181,frozenset({70447}),frozenset({87945})
182,frozenset({70448}),frozenset({70449})
183,frozenset({70449}),frozenset({70448})
184,frozenset({70448}),frozenset({70509})
185,frozenset({70509}),frozenset({70448})
186,frozenset({70448}),frozenset({88411})
187,frozenset({88411}),frozenset({70448})
188,frozenset({70449}),frozenset({70450})
189,frozenset({70450}),frozenset({70449})
190,frozenset({70449}),frozenset({70509})
191,frozenset({70509}),frozenset({70449})
192,frozenset({70449}),frozenset({88444})
193,frozenset({88444}),frozenset({70449})
194,frozenset({70449}),frozenset({4709595})
195,frozenset({4709595}),frozenset({70449})
196,frozenset({70509}),frozenset({87118})
197,frozenset({87118}),frozenset({70509})
198,frozenset({87120}),frozenset({70509})
199,frozenset({70509}),frozenset({87120})
200,frozenset({87945}),frozenset({70509})
201,frozenset({70509}),frozenset({87945})
202,frozenset({88411}),frozenset({70509})
203,frozenset({70509}),frozenset({88411})
204,frozenset({88443}),frozenset({70509})
205,frozenset({70509}),frozenset({88443})
206,frozenset({88444}),frozenset({70509})
207,frozenset({70509}),frozenset({88444})
208,frozenset({88445}),frozenset({70509})
209,frozenset({70509}),frozenset({88445})
210,frozenset({88480}),frozenset({70509})
211,frozenset({70509}),frozenset({88480})
212,frozenset({70509}),frozenset({88622})
213,frozenset({88622}),frozenset({70509})
214,frozenset({70509}),frozenset({88623})
215,frozenset({88623}),frozenset({70509})
216,frozenset({88675}),frozenset({70509})
217,frozenset({70509}),frozenset({88675})
218,frozenset({88676}),frozenset({70509})
219,frozenset({70509}),frozenset({88676})
220,frozenset({134867}),frozenset({70509})
221,frozenset({70509}),frozenset({134867})
222,frozenset({135384}),frozenset({70509})
223,frozenset({70509}),frozenset({135384})
224,frozenset({135492}),frozenset({70509})
225,frozenset({70509}),frozenset({135492})
226,frozenset({135493}),frozenset({70509})
227,frozenset({70509}),frozenset({135493})
228,frozenset({70509}),frozenset({135494})
229,frozenset({135494}),frozenset({70509})
230,frozenset({70509}),frozenset({135495})
231,frozenset({135495}),frozenset({70509})
232,frozenset({135501}),frozenset({70509})
233,frozenset({70509}),frozenset({135501})
234,frozenset({70509}),frozenset({135503})
235,frozenset({135503}),frozenset({70509})
236,frozenset({135505}),frozenset({70509})
237,frozenset({70509}),frozenset({135505})
238,frozenset({135507}),frozenset({70509})
239,frozenset({70509}),frozenset({135507})
240,frozenset({70509}),frozenset({135789})
241,frozenset({135789}),frozenset({70509})
242,frozenset({70509}),frozenset({761495})
243,frozenset({761495}),frozenset({70509})
244,frozenset({3336149}),frozenset({70509})
245,frozenset({70509}),frozenset({3336149})
246,frozenset({3344437}),frozenset({70509})
247,frozenset({70509}),frozenset({3344437})
248,frozenset({4709595}),frozenset({70509})
249,frozenset({70509}),frozenset({4709595})
250,frozenset({15021864}),frozenset({70509})
251,frozenset({70509}),frozenset({15021864})
252,frozenset({88411}),frozenset({87118})
253,frozenset({87118}),frozenset({88411})
254,frozenset({87118}),frozenset({88623})
255,frozenset({88623}),frozenset({87118})
256,frozenset({3336149}),frozenset({87118})
257,frozenset({87118}),frozenset({3336149})
258,frozenset({87120}),frozenset({88411})
259,frozenset({88411}),frozenset({87120})
260,frozenset({87945}),frozenset({4709595})
261,frozenset({4709595}),frozenset({87945})
262,frozenset({88411}),frozenset({88443})
263,frozenset({88443}),frozenset({88411})
264,frozenset({88411}),frozenset({88444})
265,frozenset({88444}),frozenset({88411})
266,frozenset({88411}),frozenset({88475})
267,frozenset({88475}),frozenset({88411})
268,frozenset({88480}),frozenset({88411})
269,frozenset({88411}),frozenset({88480})
270,frozenset({88411}),frozenset({88622})
271,frozenset({88622}),frozenset({88411})
272,frozenset({88411}),frozenset({88623})
273,frozenset({88623}),frozenset({88411})
274,frozenset({88411}),frozenset({88675})
275,frozenset({88675}),frozenset({88411})
276,frozenset({88411}),frozenset({88676})
277,frozenset({88676}),frozenset({88411})
278,frozenset({88411}),frozenset({135492})
279,frozenset({135492}),frozenset({88411})
280,frozenset({88411}),frozenset({135493})
281,frozenset({135493}),frozenset({88411})
282,frozenset({88411}),frozenset({135494})
283,frozenset({135494}),frozenset({88411})
284,frozenset({88411}),frozenset({135495})
285,frozenset({135495}),frozenset({88411})
286,frozenset({88411}),frozenset({135501})
287,frozenset({135501}),frozenset({88411})
288,frozenset({88411}),frozenset({135503})
289,frozenset({135503}),frozenset({88411})
290,frozenset({135505}),frozenset({88411})
291,frozenset({88411}),frozenset({135505})
292,frozenset({135507}),frozenset({88411})
293,frozenset({88411}),frozenset({135507})
294,frozenset({88411}),frozenset({135510})
295,frozenset({135510}),frozenset({88411})
296,frozenset({88411}),frozenset({135789})
297,frozenset({135789}),frozenset({88411})
298,frozenset({88411}),frozenset({761495})
299,frozenset({761495}),frozenset({88411})
